# Version 1.00
#
freq[Hz];Trc1_S21[dB];
6.502523500000000E+009;-5.884421700303538E+000;
6.545023000000000E+009;-5.795086311534422E+000;
6.587522500000000E+009;-5.159940334743154E+000;
6.630022000000000E+009;-4.891023559067057E+000;
6.672521500000000E+009;-5.032333104320628E+000;
6.715021000000000E+009;-5.742004292414720E+000;
6.757520500000000E+009;-5.592338229938636E+000;
6.800020000000000E+009;-5.790957467980146E+000;
6.842519500000000E+009;-5.269771618580394E+000;
6.885019000000000E+009;-4.888894688919343E+000;
6.927518500000000E+009;-5.423721489221417E+000;
6.970018000000000E+009;-5.337766315883935E+000;
7.012517500000000E+009;-5.771747093262102E+000;
7.055017000000000E+009;-5.558925301073599E+000;
7.097516500000000E+009;-5.042750313534046E+000;
7.140016000000000E+009;-5.855571565556513E+000;
7.182515500000000E+009;-4.909082309326323E+000;
7.225015000000000E+009;-5.419979290258755E+000;
7.267514500000000E+009;-4.643333070414652E+000;
7.310014000000000E+009;-5.786444467265330E+000;
7.352513500000000E+009;-5.135701816880900E+000;
7.395013000000000E+009;-5.116294215236120E+000;
7.437512500000000E+009;-4.615588657788906E+000;
7.480012000000000E+009;-5.194775593816883E+000;
7.522511500000000E+009;-5.123424445290198E+000;
7.565011000000000E+009;-5.050108481350013E+000;
7.607510500000000E+009;-4.658929084972495E+000;
7.650010000000000E+009;-5.600586937962984E+000;
7.692509500000000E+009;-5.573682048961469E+000;
7.735009000000000E+009;-5.366974947082916E+000;
7.777508500000000E+009;-4.714183375972158E+000;
7.820008000000000E+009;-4.825946658458356E+000;
7.862507500000000E+009;-5.678139672482240E+000;
7.905007000000000E+009;-5.255013918518014E+000;
7.947506500000000E+009;-5.006340917876784E+000;
7.990006000000000E+009;-5.604206721765960E+000;
8.032505500000000E+009;-5.645434755599059E+000;
8.075005000000000E+009;-5.395133452800167E+000;
8.117504500000000E+009;-5.483147851789351E+000;
8.160004000000000E+009;-5.050277291628349E+000;
8.202503500000000E+009;-5.946288037472069E+000;
8.245003000000000E+009;-5.712248339181483E+000;
8.287502500000000E+009;-5.862123565858640E+000;
8.330002000000000E+009;-5.443787169572493E+000;
8.372501500000000E+009;-4.785308043225044E+000;
8.415001000000000E+009;-5.901135378293168E+000;
8.457500500000000E+009;-5.639424149035040E+000;
8.500000000000000E+009;-5.132338251881023E+000;
